purpose_antes,config_antes,fold_antes,row_excel,date_antes,group_antes,tile_antes,bairro_antes,area_antes,actual_antes,predicted_antes,k_antes,effective_antes,floor_antes,n_train_antes,discount_antes,error_antes,purpose_depois,config_depois,fold_depois,date_depois,group_depois,tile_depois,bairro_depois,area_depois,actual_depois,predicted_depois,k_depois,effective_depois,floor_depois,n_train_depois,discount_depois,error_depois
TERRENO,baseline,teste_reservado,164687,2026-09-01,5509149,-3334|-4931,farrapos,3000.0,2950650.0,3970651.3144704862,12,11.943992367250708,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-09-01,5509149,-3334|-4931,farrapos,3000.0,2950650.0,3970651.3144704862,12,11.943992367250708,200.0,97,0.0,
TERRENO,baseline,teste_reservado,165888,2026-09-04,10649301,-3341|-4921,mario quintana,341.0,250000.0,371279.9133033551,12,11.96255106762743,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-09-04,10649301,-3341|-4921,mario quintana,341.0,250000.0,371279.9133033551,12,11.96255106762743,200.0,97,0.0,
TERRENO,baseline,teste_reservado,165393,2026-09-08,6340016,-3340|-4927,vila jardim,528.0,45000.0,461835.6769033798,12,11.955540019986882,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-09-08,6340016,-3340|-4927,vila jardim,528.0,45000.0,461835.6769033798,12,11.955540019986882,200.0,97,0.0,
TERRENO,baseline,teste_reservado,165394,2026-09-08,26395,-3340|-4927,vila jardim,428.0,80000.0,495033.6284392742,12,11.8435610952463,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-09-08,26395,-3340|-4927,vila jardim,428.0,80000.0,495033.6284392742,12,11.8435610952463,200.0,97,0.0,
TERRENO,baseline,teste_reservado,165395,2026-09-08,26263,-3340|-4927,vila jardim,533.0,100000.0,459189.15894635016,12,11.94284728763742,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-09-08,26263,-3340|-4927,vila jardim,533.0,100000.0,459189.15894635016,12,11.94284728763742,200.0,97,0.0,
TERRENO,baseline,teste_reservado,165396,2026-09-08,26301,-3340|-4927,vila jardim,528.0,42000.0,464180.0634821108,12,11.9598018629756,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-09-08,26301,-3340|-4927,vila jardim,528.0,42000.0,464180.0634821108,12,11.9598018629756,200.0,97,0.0,
TERRENO,baseline,teste_reservado,166048,2026-09-09,8296790,-3348|-4922,lomba pinheiro,305.0,60000.0,206830.8573826669,12,11.992747017308425,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-09-09,8296790,-3348|-4922,lomba pinheiro,305.0,60000.0,206830.8573826669,12,11.992747017308425,200.0,97,0.0,
TERRENO,baseline,teste_reservado,165902,2026-09-10,100093274,-3355|-4931,aberta dos morr,172.83,129072.5,270564.9876078057,12,11.968257011517858,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-09-10,100093274,-3355|-4931,aberta dos morr,172.83,129072.5,270564.9876078057,12,11.968257011517858,200.0,97,0.0,
TERRENO,baseline,teste_reservado,165960,2026-09-10,100134492,-3340|-4922,mario quintana,151.55,66960.0,154277.04286219872,12,11.904162288806068,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-09-10,100134492,-3340|-4922,mario quintana,151.55,66960.0,154277.04286219872,12,11.904162288806068,200.0,97,0.0,
TERRENO,baseline,teste_reservado,166014,2026-09-10,1315668,-3337|-4921,rubem berta,300.0,185000.0,364044.514688768,12,11.781816838991196,200.0,97,0.0,,TERRENO,baseline,teste_reservado,2026-09-10,1315668,-3337|-4921,rubem berta,300.0,185000.0,364044.514688768,12,11.781816838991196,200.0,97,0.0,
