_row_excel,siat_finalidade_descricao,siat_area_terreno,crawler_area_terreno,__area_total_lote_efetiva,__regra_area_lote
61023,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,19729.0,254.19,254.19,área da unidade negociada em condomínio
61296,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,6958.0,164.23,164.23,área da unidade negociada em condomínio
61437,TERRENO EM CONDOMINIO HORIZONTAL ABERTO,5069.64,96.64,96.64,área da unidade negociada em condomínio
61438,TERRENO EM CONDOMINIO HORIZONTAL ABERTO,5069.64,96.86,96.86,área da unidade negociada em condomínio
61439,TERRENO EM CONDOMINIO HORIZONTAL ABERTO,5069.64,96.86,96.86,área da unidade negociada em condomínio
61609,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,1426987.0,500.0,500.0,área da unidade negociada em condomínio
61613,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,6958.0,164.23,164.23,área da unidade negociada em condomínio
62149,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,887.79,887.79,área da unidade negociada em condomínio
63111,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,487200.89,549.12,549.12,área da unidade negociada em condomínio
63124,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,14921.05,281.98,281.98,área da unidade negociada em condomínio
63768,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,69568.0,500.0,500.0,área da unidade negociada em condomínio
64075,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,25258.11,0.0,,área da unidade em condomínio ausente
64346,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,19948.88,204.88,204.88,área da unidade negociada em condomínio
64417,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,487200.89,536.25,536.25,área da unidade negociada em condomínio
64896,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,34403.35,232.38,232.38,área da unidade negociada em condomínio
65197,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,16484.37,144.63,144.63,área da unidade negociada em condomínio
65756,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,281262.0,885.28,885.28,área da unidade negociada em condomínio
65763,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,281262.0,885.28,885.28,área da unidade negociada em condomínio
65981,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,564.53,564.53,área da unidade negociada em condomínio
