finalidade,config,estrato,grupo,n,mdape,mape,p90_ape,median_ratio,cod,prd,mean_abs_log,rmse,score,prb
CASA / RESIDÊNCIA,f0_w0.25_k5-15_e5,tile,-3351|-4935,1,4.388000348082303,4.388000348082303,4.388000348082303,5.388000348082303,0.0,1.0,1.684174323151364,1029424.8816601085,2.526261484727046,
CASA / RESIDÊNCIA,f0_w0.25_k5-15_e5,tile,-3352|-4925,3,0.44670130610101255,0.46574789977713343,0.5221243685421182,1.4467013061010126,3.0279891345501495,1.0020679657141516,0.38166128994214427,60297.29442194541,0.5749071797202004,
CASA / RESIDÊNCIA,f0_w0.25_k5-15_e5,tile,-3352|-4932,2,0.6258774680124279,0.6258774680124279,1.0081830593435601,1.4778819891639152,42.349624164951535,0.8665521527671981,0.45194470377683477,469201.31438018713,0.8247402432799661,
CASA / RESIDÊNCIA,f0_w0.25_k5-15_e5,tile,-3352|-4933,2,0.46356075896300986,0.46356075896300986,0.7848603465410917,1.46356075896301,27.441599674834748,1.0911287990810705,0.34172714511680613,197524.7535299884,0.6443736934839753,
CASA / RESIDÊNCIA,f0_w0.25_k5-15_e5,tile,-3353|-4925,1,0.7160394590909089,0.7160394590909089,0.7160394590909089,1.716039459090909,0.0,1.0,0.540018995609616,78764.34049999999,0.810028493414424,
CASA / RESIDÊNCIA,f0_w0.25_k5-15_e5,tile,-3353|-4926,1,0.41163989999999995,0.41163989999999995,0.41163989999999995,0.5883601,0.0,1.0,0.5304161035670416,82327.98,0.7956241553505624,
CASA / RESIDÊNCIA,f0_w0.25_k5-15_e5,tile,-3353|-4928,1,0.1502976472613453,0.1502976472613453,0.1502976472613453,1.1502976472613453,0.0,1.0,0.14002073259159947,39077.38828794978,0.2100310988873992,
CASA / RESIDÊNCIA,f0_w0.25_k5-15_e5,tile,-3353|-4929,1,0.0022493886081014214,0.0022493886081014214,0.0022493886081014214,0.9977506113918986,0.0,1.0,0.0022519222828490232,1709.5353421571199,0.0033778834242735346,
CASA / RESIDÊNCIA,f0_w0.25_k5-15_e5,tile,-3353|-4932,2,0.6971064279796358,0.6971064279796358,1.2100225193558196,1.697106427979636,37.77872169063065,1.4641157062910444,0.4519274979004018,110123.71420410738,1.0014623753377392,
CASA / RESIDÊNCIA,f0_w0.25_k5-15_e5,tile,-3354|-4926,1,0.7528011611030478,0.7528011611030478,0.7528011611030478,1.7528011611030478,0.0,1.0,0.5612151717264721,82808.12772133527,0.8418227575897081,
CASA / RESIDÊNCIA,f0_w0.25_k5-15_e5,tile,-3354|-4928,4,0.13698959133384436,0.31588269738707364,0.7069582591103718,1.0465159176567864,30.184222911234304,1.0451607967056002,0.24631163081531443,67874.32383954541,0.3665907976872967,0.4195418764855492
CASA / RESIDÊNCIA,f0_w0.25_k5-15_e5,tile,-3354|-4929,3,0.23913292144848053,0.25962228340845134,0.30702273774067296,0.7842612630368476,23.934545786508036,1.0240261315318948,0.28299334628830586,100847.24557122479,0.47620726867529883,
CASA / RESIDÊNCIA,f0_w0.25_k5-15_e5,tile,-3354|-4930,2,0.2331645031722515,0.2331645031722515,0.28537549560835523,0.7668354968277484,8.510787622001494,0.9740383191333453,0.2691178322366194,98557.3915008782,0.43628860669675196,
CASA / RESIDÊNCIA,f0_w0.25_k5-15_e5,tile,-3354|-4931,1,0.7202958236721406,0.7202958236721406,0.7202958236721406,1.7202958236721406,0.0,1.0,0.5424962665437486,144059.1647344281,0.8137443998156229,
CASA / RESIDÊNCIA,f0_w0.25_k5-15_e5,tile,-3354|-4932,1,0.43683526923665794,0.43683526923665794,0.43683526923665794,0.5631647307633421,0.0,1.0,0.5741830990336091,251617.11508031498,0.8612746485504137,
CASA / RESIDÊNCIA,f0_w0.25_k5-15_e5,tile,-3354|-4933,3,0.29832057345448315,0.24129131402764914,0.29843988860481807,1.1270836512360625,17.649985139150658,1.0400500831845467,0.24506541057479744,94807.00013536394,0.3686415363748601,
