purpose,config,fold,row_excel,date,group,tile,bairro,area,actual,predicted,k,effective,floor,n_train,discount,error,razao,erro_percentual_absoluto
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,163741,2026-08-26,11550848,-3340|-4929,petropolis,207.88,628000.0,2220804.0792133133,7,5.763412274175996,200.0,17117,0.0374643698062107,,3.536312228046677,2.536312228046677
TERRENO,baseline,teste_reservado,162077,2026-08-17,9513973,-3342|-4931,santana,508.0,540000.0,1902872.306270391,12,11.95904663572536,200.0,97,0.0,,3.5238376042044277,2.5238376042044277
CASA / RESIDÊNCIA,baseline,teste_reservado,164227,2026-08-31,1472178,-3340|-4927,chacara pedras,545.79,800000.0,2802168.020718897,5,5.0,800.0,16815,0.1487989829969808,,3.5027100258986215,2.5027100258986215
CASA / RESIDÊNCIA,baseline,teste_reservado,162575,2026-08-19,2479869,-3341|-4924,morro santana,46.0,60000.0,210055.43794871797,5,5.0,800.0,16815,0.1487989829969808,,3.500923965811966,2.500923965811966
TERRENO,baseline,teste_reservado,166235,2026-09-11,2023733,-3344|-4934,santa tereza,1932.0,400000.0,1372042.477313138,12,11.985315126766942,200.0,97,0.0,,3.430106193282845,2.430106193282845
TERRENO,baseline,teste_reservado,163614,2026-08-26,100135070,-3340|-4921,mario quintana,150.0,48360.46,163321.09296541728,12,11.96974846214799,200.0,97,0.0,,3.3771616929495147,2.3771616929495147
TERRENO,baseline,teste_reservado,166071,2026-09-10,470767,-3342|-4932,azenha,364.0,345379.49,1160406.098007602,12,11.95016057651699,200.0,97,0.0,,3.3598002533607363,2.3598002533607363
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,166855,2026-09-16,100039333,-3343|-4931,santo antonio,10.58,10000.0,33333.3333171575,7,6.000000014558249,200.0,17117,0.0374643698062107,,3.33333333171575,2.33333333171575
GARAGEM / VAGA NÃO RESIDENCIAL,baseline,teste_reservado,166270,2026-09-14,11053232,-3340|-4929,bela vista,10.58,15000.0,49880.57349413931,7,6.999991465172689,150.0,2612,0.2,,3.3253715662759538,2.3253715662759538
GARAGEM / VAGA NÃO RESIDENCIAL,baseline,teste_reservado,166269,2026-09-14,11053089,-3340|-4929,bela vista,10.58,15000.0,49880.57349413931,7,6.999991465172689,150.0,2612,0.2,,3.3253715662759538,2.3253715662759538
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,162578,2026-08-19,100060282,-3341|-4927,chacara pedras,11.04,10000.0,33132.49212368087,7,5.491429723526276,200.0,17117,0.0374643698062107,,3.3132492123680874,2.3132492123680874
APARTAMENTO,baseline,teste_reservado,161270,2026-08-13,9134948,-3349|-4936,tristeza,88.94,126666.54,416403.8538590286,12,11.99998250300985,1200.0,96700,0.2,,3.287402133657623,2.287402133657623
CASA / RESIDÊNCIA,baseline,teste_reservado,167322,2026-09-17,3082032,-3340|-4927,vila jardim,323.98,400000.0,1294347.771576569,5,5.0,800.0,16815,0.1487989829969808,,3.2358694289414225,2.2358694289414225
TERRENO,baseline,teste_reservado,167416,2026-09-17,9604472,-3339|-4923,mario quintana,300.0,100000.0,321351.76662349334,12,11.803941553370503,200.0,97,0.0,,3.2135176662349334,2.2135176662349334
TERRENO,baseline,teste_reservado,166970,2026-09-17,9609806,-3339|-4923,mario quintana,300.0,100000.0,321326.0158292984,12,11.802001364388715,200.0,97,0.0,,3.213260158292984,2.213260158292984
TERRENO,baseline,teste_reservado,164385,2026-08-31,2034581,-3337|-4927,jardim floresta,1124.0,825000.0,2616106.307606069,12,11.955776210510638,200.0,97,0.0,,3.171037948613417,2.171037948613417
TERRENO,baseline,teste_reservado,166969,2026-09-15,9589155,-3339|-4923,jar leopoldina,315.0,120000.0,379157.47960518906,12,11.810075418786209,200.0,97,0.0,,3.1596456633765757,2.1596456633765757
GARAGEM / VAGA NÃO RESIDENCIAL,baseline,teste_reservado,167391,2026-09-22,10491759,-3340|-4933,centro historic,14.43,10000.0,31276.09379928018,7,6.647549131484572,150.0,2612,0.2,,3.127609379928018,2.127609379928018
